quar_duration	test_schedule	home_quar_flag	hotel_quar_flag	sync_flag	pVac_Travellers	VEi	VEs	compliance_rate	label
14	1, 5, 13	TRUE	FALSE	FALSE	1	0.36	0.67	0	no quarantine, vaccinated
14	1, 5, 13	TRUE	FALSE	FALSE	0	0	0	0	no quarantine, unvaccinated
7	1, 5	TRUE	FALSE	FALSE	0	0	0	0.75	7d home quarantine, unvaccinated, low comp
7	1, 5	TRUE	FALSE	FALSE	0	0	0	0.9	7d home quarantine, unvaccinated, med comp
7	1, 5	TRUE	FALSE	FALSE	0	0	0	1	7d home quarantine, unvaccinated, high comp
7	1, 5	TRUE	FALSE	FALSE	1	0.36	0.67	0.75	7d home quarantine vaccinated low comp
7	1, 5	TRUE	FALSE	FALSE	1	0.36	0.67	0.9	7d home quarantine vaccinated med comp
7	1, 5	TRUE	FALSE	FALSE	1	0.36	0.67	1	7d home quarantine vaccinated high comp
14	1, 5, 13	TRUE	FALSE	FALSE	0	0	0	0.75	14d home quarantine unvaccinated low comp
14	1, 5, 13	TRUE	FALSE	FALSE	0	0	0	0.9	14d home quarantine unvaccinated med comp
14	1, 5, 13	TRUE	FALSE	FALSE	0	0	0	1	14d home quarantine unvaccinated high comp
14	1, 5, 13	TRUE	FALSE	FALSE	1	0.36	0.67	0.75	14d home quarantine vaccinated low comp
14	1, 5, 13	TRUE	FALSE	FALSE	1	0.36	0.67	0.9	14d home quarantine vaccinated med comp
14	1, 5, 13	TRUE	FALSE	FALSE	1	0.36	0.67	1	14d home quarantine vaccinated high comp
7	1, 5	FALSE	TRUE	FALSE	0	0	0	1	7d hotel quarantine unvaccinated
7	1, 5	FALSE	TRUE	FALSE	1	0.36	0.67	1	7d hotel quarantine vaccinated
14	1, 5, 13	FALSE	TRUE	FALSE	0	0	0	1	14d hotel quarantine unvaccinated
14	1, 5, 13	FALSE	TRUE	FALSE	1	0.36	0.67	1	14d hotel quarantine vaccinated
14	1, 5, 13	FALSE	TRUE	TRUE	1	0.36	0.67	1	14d hotel quarantine vaccinated, synchronised
14	0, 3, 5, 7, 9, 13	TRUE	FALSE	FALSE	1	0.36	0.67	1	14d home quarantine vaccinated, 6 tests
14	1, 5, 13	FALSE	TRUE	FALSE	1	0	0.67	1	14d hotel quarantine vaccinated, no Vt
